time_step,dimension,dimension_name,household_i,household_j,p_ji_value
1,1,repair,43,41,0.0
1,1,repair,1,41,0.0
1,1,repair,45,41,0.0
1,1,repair,44,41,0.0
1,1,repair,40,41,0.0
1,1,repair,38,41,0.0
1,0,vacant,2,41,0.0
1,0,vacant,37,41,0.0
1,0,vacant,23,41,0.0
1,0,vacant,42,41,0.0
1,0,vacant,24,41,0.0
1,0,vacant,5,41,0.0
1,0,vacant,48,41,0.0
1,0,vacant,12,41,0.0
1,0,vacant,8,41,0.0
1,0,vacant,30,41,0.0
1,0,vacant,43,41,0.0
1,0,vacant,1,41,0.0
1,0,vacant,45,41,0.0
1,0,vacant,44,41,0.0
1,0,vacant,40,41,0.0
1,0,vacant,38,41,0.0
1,2,sell,2,41,0.0
1,2,sell,37,41,0.0
1,2,sell,23,41,0.0
1,2,sell,42,41,0.0
1,2,sell,24,41,0.0
1,2,sell,5,41,0.0
1,2,sell,48,41,0.0
1,2,sell,12,41,0.0
1,2,sell,8,41,0.0
1,2,sell,30,41,0.0
